Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Other,Role,Notes,Artist
The Lost Village,1,Swarming Rabbit,,Minion ◆ Beast,Red,,2,,Encounter 2,,L. Sean
The Lost Village,1,Swarming Rabbit,,Minion ◆ Beast,Yellow,,2,,Encounter 2,,L. Sean
The Lost Village,1,The Infection Grows,,Action ◆ Curse,Favored,,,,Encounter 2,,Souveraine
The Lost Village,1,Blighted Ground,,Hazard,Yellow,,,,Encounter 3,,Ksenia Kozhevnikova
The Lost Village,1,Frenzied Hart,,Minion ◆ Beast,Green,,5+,,Encounter 3,,Souveraine
The Lost Village,1,Frenzied Hart,,Minion ◆ Beast,Favored,,5+,,Encounter 3,,Souveraine
The Lost Village,1,Insect Horde,,Minion ◆ Swarm,Green,,2+,,Encounter 3,,Olivier Bernard
The Lost Village,1,Insect Horde,,Minion ◆ Swarm,Red,,2+,,Encounter 3,,Olivier Bernard
The Lost Village,1,Pecking Chicken,,Minion ◆ Beast,Blue,,3,,Encounter 3,,Siregar
The Lost Village,1,Pecking Chicken,,Minion ◆ Beast,Red,,3,,Encounter 3,,Siregar
The Lost Village,1,Pecking Chicken,,Minion ◆ Beast,Yellow,,3,,Encounter 3,,Siregar
The Lost Village,1,The Infection Takes Over,,Action ◆ Curse,Blue,,,,Encounter 3,,Souveraine
The Lost Village,1,The Infection Takes Over,,Action ◆ Curse,Favored,,,,Encounter 3,,Souveraine
The Lost Village,1,Transform: Galloping Elk,,Action,,,,,Encounter 3,,Siregar
The Lost Village,1,Transform: Venomous Snake,,Action,,,,,Encounter 3,,Andrés Agostini
The Lost Village,1,Transform: Web-Spinning Spider,,Action,,,,,Encounter 3,,Grzegorz Pedrycz
The Lost Village,1,Transform: Keening Bat,,Action,,,,,Encounter 3,,Olivier Bernard
The Lost Village,1,Level Up,,Action,,,,,Encounter 3,,David Gaillet
The Lost Village,5,Shopkeep’s Keys,,Item ◆ Key,,2,,,Pseudo-Market,,Rainer Petter
The Lost Village,5,Tasty Meal,,Item ◆ Food,,2,,,Pseudo-Market,,Johnny Morrow
The Lost Village,1,Phoenix Helm,,Cleric Campaign Magic Armor ◆ Head | Cleric Magic Armor ◆ Head,,,,,Treasure,,Isuardi Therianto
The Lost Village,1,Shining Breastplate,,Cleric Campaign Magic Armor ◆ Chest | Cleric Magic Armor ◆ Chest,,,,,Treasure,,Souveraine
The Lost Village,1,Helm of Fury,,Fighter Campaign Magic Armor ◆ Head | Fighter Magic Armor ◆ Head,,,,,Treasure,,Dhennis I. Balontong
The Lost Village,1,Spiked Pauldrons,,Fighter Campaign Magic Armor ◆ Shoulder | Fighter Magic Armor ◆ Shoulder,,,,,Treasure,,Antonis Papantoniou
The Lost Village,1,Hunter’s Cloak,,Ranger Campaign Magic Armor ◆ Back | Ranger Magic Armor ◆ Back,,,,,Treasure,,Melvin Chan
The Lost Village,1,Sure Shot Bracer,,Ranger Campaign Magic Armor ◆ Arm | Ranger Magic Armor ◆ Arm,,,,,Treasure,,Grzegorz Pedrycz
The Lost Village,1,Shadow Mask,,Thief Campaign Magic Armor ◆ Head | Thief Magic Armor ◆ Head,,,,,Treasure,,Frag Games
The Lost Village,1,Silent Boots,,Thief Campaign Magic Armor ◆ Foot | Thief Magic Armor ◆ Foot,,,,,Treasure,,Johnny Morrow
The Lost Village,1,Runic Robes,,Wizard Campaign Magic Armor ◆ Chest | Wizard Magic Armor ◆ Chest,,,,,Treasure,,Umar Afzal
The Lost Village,1,Spellcaster Gloves,,Wizard Campaign Magic Armor ◆ Hand | Wizard Magic Armor ◆ Hand,,,,,Treasure,,L. Sean
The Lost Village,1,Hammer of Light,,,,,,,Treasure,,Helder Almeida
The Lost Village,1,Talisman of Renewal,,Cleric Item ◆ Magic Jewelry,,,,,Treasure,,Takashi Tan
The Lost Village,1,Rallying Flag,,Fighter Item ◆ Banner,,,,,Treasure,,Helder Almeida
The Lost Village,1,Sharpening Stone,,Fighter Item ◆ Tool,,,,,Treasure,,Johnny Morrow
The Lost Village,1,Flashfire Arrow,,,,,,,Treasure,,Ren Tu
The Lost Village,1,Pathfinder’s Compass,,Ranger Item ◆ Tool,,,,,Treasure,,Rainer Petter
The Lost Village,1,Blackjack,,,,,,,Treasure,,Melvin Chan
The Lost Village,1,Jeweler’s Loupe,,,,,,,Treasure,,Ksenia Kozhevnikova
The Lost Village,1,Alchemist’s Stone,,,,,,,Treasure,,Johnny Morrow
The Lost Village,1,Magic Mirror,,Wizard Item ◆ Tool,,,,,Treasure,,Dhennis I. Balontong
The Lost Village,1,The Beast,,The Beast Ability ◆ Curse,,,,,Avatar,,Souveraine
The Lost Village,1,The Beast Within,,The Beast Action ◆ Curse,,,,,Treasure,,Souveraine
The Lost Village,1,Malvan’s Staff,,Item ◆ Magic Weapon ◆ Staff,Wild,3,,,Treasure,,Siregar
The Lost Village,1,Scorecard (40-70) | Scorecard (00-30),,,Purple,,,,Scorecard,,
The Lost Village,1,Scorecard (00-09) | Scorecard (80-89),,,Purple,,,,Scorecard,,
The Lost Village,1,Maddened Boar,,"Master ◆ Starting Health: 70
Master",,,,"Level 1
Mastery cards needed: 3
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Radial Studio
The Lost Village,1,Charging Bull,,"Master ◆ Starting Health: 80
Master",,,,"Level 1
Mastery cards needed: 3
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Sebastian Giacobino
The Lost Village,1,Alpha Wolf,,"Master ◆ Starting Health: 20
Master ◆ Level Up: Gain 20 {Health}",,,,"Level 1
Mastery cards needed: 3
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,L. Sean
The Lost Village,1,Battering Ram,,"Master ◆ Starting Health: 17
Master ◆ Level Up: Gain 17 {Health}",,,,"Level 1
Mastery cards needed: 3
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Rainer Petter
The Lost Village,1,Covetous Raven,,"Master ◆ Starting Health: 15
Master ◆ Level Up: Gain 15 {Health}",,,,"Level 1
Mastery cards needed: 3
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Jean Baptiste Andrier
The Lost Village,1,Cunning Owl,,"Master ◆ Starting Health: 12
Master ◆ Level Up: Gain 12 {Health}",,,,"Level 1
Mastery cards needed: 3
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Joe Requeza
The Lost Village,1,Enraged Bear,,,,,,"Level 1
Mastery cards needed: 3
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Anna Lakisova
The Lost Village,1,"Malvan, Beast Maker",,"Master ◆ Starting Health: 120
Master",,,,"Level 1
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,David Gaillet
The Lost Village,1,Galloping Elk Form,,"Master
Master",,,,"Level 1
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Siregar
The Lost Village,1,Keening Bat Form,,"Master
Master",,,,"Level 1
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Olivier Bernard
The Lost Village,1,Venomous Snake Form,,"Master
Master",,,,"Level 1
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Andrés Agostini
The Lost Village,1,Web-Spinning Spider Form,,"Master
Master",,,,"Level 1
Cards to play: 1
|
Level 2
Cards to play: 1",Master,,Grzegorz Pedrycz
The Lost Village,1,The Hydra,,Challenge,,,,Health 40 x Players,Challenge,,Antonis Papantoniou
The Lost Village,1,"TIbus, Guild Lord",,Challenge,,,,Health 40 x Players,Challenge,,Alex Hurtado
Journeys Kickstarter Promo Pack,1,Ad (Thank You Backers!) | Rules,,,,,,,Ad | Rules,,Antonis Papantoniou
Journeys Kickstarter Promo Pack,1,Battle Fire,"{Gain 4 combat} 
Draw a card.
<hr>
{Imperial Ally}: Draw a card.",Action ◆ Spell,Imperial,5,,,Market Deck,,Shen Fei
Journeys Kickstarter Promo Pack,1,"Reha, the Healer","{Expend}: If you played a champion this turn <i>(including this one)</i>, gain {5 health}.",Champion ◆ Human Mage,Imperial,3,4,,Market Deck,,Siregar
Journeys Kickstarter Promo Pack,1,"Rickard, Imperial Archmage","{Expend}: If you played a champion this turn <i>(including this one)</i>, draw a card.",Champion ◆ Human Mage,Imperial,6,6 Guard,,Market Deck,,Apsara
Journeys Kickstarter Promo Pack,2,Tithing,"{Gain 2 gold} {Gain 2 health} 
<hr>
{Imperial Ally}: {Gain 2 combat} ",Action ◆ Priest,Imperial,1,,,Market Deck,,Melvin Chan
Journeys Kickstarter Promo Pack,1,"Asha, the Resurrectionist","{Expend}: If you played a champion this turn <i>(including this one)</i>, put a champion from your discard pile on top of your deck.",Champion ◆ Human Priest,Necros,6,5 Guard,,Market Deck,,Jean Baptiste Andrier
Journeys Kickstarter Promo Pack,2,Dark Sign,"Draw a card. 
<hr>
{Necros Ally}: Sacrifice a card in your hand.",Action ◆ Curse,Necros,1,,,Market Deck,,Craig Maher
Journeys Kickstarter Promo Pack,1,Enthrall,"{Gain 3 gold} 
<hr>
{Necros Ally}: Sacrifice a card in your hand or discard pile. 
<hr>
{Sacrifice}: {Gain 6 combat} ",Action ◆ Spell,Necros,4,,,Market Deck,,Souveraine
Journeys Kickstarter Promo Pack,1,"Julian, Blood Guardian","{Expend}: If you played a champion this turn <i>(including this one)</i>, sacrifice a card in your hand or discard pile.",Champion ◆ Vampire,Necros,3,5,,Market Deck,,Antonis Papantoniou
Journeys Kickstarter Promo Pack,1,Elven Fury,"{Gain 10 combat} 
Target opponent discards a card.",Action ◆ Elf,Wild,,,,Market Deck,,Bramasta Aji
Journeys Kickstarter Promo Pack,2,Elven War Song,"{Gain 4 combat} 
Draw a card, then discard a card. 
<hr>
{Wild Ally}: Target opponent discards a card.",Action ◆ Elf Spell,Wild,3,,,Market Deck,,Vaggelis Manousakas
Journeys Kickstarter Promo Pack,1,Gornok Spinebreaker,"{Expend}: {Gain 4 combat} 
<hr>
When you acquire a {Wild} card, you may put this card from your discard pile on top of your deck.",Champion ◆ Troll Warrior,Wild,5,5,,Market Deck,,L. Sean
Journeys Kickstarter Promo Pack,1,"Gruber, the Wayfinder","{Expend}: If you played a champion this turn <i>(including this one)</i>, draw a card, then discard a card.",Champion ◆ Elf,Wild,4,5 Guard,,Market Deck,,David Gaillet
Journeys Kickstarter Promo Pack,1,"Jase, Songweaver","{Expend}: If you played a champion this turn <i>(including this one)</i>, target opponent discards a card.",Champion ◆ Elf Mage,Wild,2,3,,Market Deck,,Antonis Papantoniou
Journeys Kickstarter Promo Pack,2,Wolf Lord,{Expend}: Gain {1 gold} and {1 combat} for each {Wild} card you have in play <i>(including this one)</i>.,Champion ◆ Human Warrior,Wild,3,4,,Market Deck,,Alexander Gustafson
Journeys Kickstarter Promo Pack,1,"Davik, the Lender","{Expend}: If you played a champion this turn <i>(including this one)</i>, gain {3 gold}.",Champion ◆ Human,Guild,4,4 Guard,,Market Deck,,Siregar
Journeys Kickstarter Promo Pack,2,Illusionist,"{Expend}: Put the next card you acquire this turn on top of your deck. 
<hr>
{Guild Ally}: {Gain 2 combat} ",Champion ◆ Human Mage,Guild,4,,,Market Deck,,Antonis Papantoniou
Journeys Kickstarter Promo Pack,1,Scandal,"Draw two cards. 
<hr>
{Guild Ally}: Stun target champion. 
<hr>
{Sacrifice}: {Gain 6 combat} ",Action,Guild,7,,,Market Deck,,Lester Niesta
Journeys Kickstarter Promo Pack,1,"Teague, the Breaker","{Expend}: If you played a champion this turn <i>(including this one)</i>, gain {5 combat}.",Champion ◆ Human Rogue,Guild,5,6,,Market Deck,,Robert Ardy
Journeys Kickstarter Promo Pack,1,Cloak of Night,"Draw two cards, then discard two cards. 
<hr>
Whenever this card goes to your discard pile, target opponent discards a card.",Artifact Item ◆ Cloak,,3,,,Artifact Deck,,Jean Baptiste Andrier
Journeys Kickstarter Promo Pack,1,Divining Wand,"{Gain 2 gold}
Draw a card. 
<hr>
When you acquire this card, you may put it on top of your deck.",Artifact Item ◆ Wand,,4,,,Artifact Deck,,Melvin Chan
Journeys Kickstarter Promo Pack,1,Shimmering Steel,"{Gain 4 combat} 
Choose a faction. This card gains that faction this turn. 
<hr>
When you acquire this card, you may put it into your hand.",Artifact Item ◆ Melee Weapon ◆ Sword,,4,,,Artifact Deck,,Kingsley Calungeagin
Journeys Kickstarter Promo Pack,1,Diplomacy,Trigger two or more ally abilities in one turn.,Quest,,,,,Quest Deck,,Jeffrey Viloria
Journeys Kickstarter Promo Pack,1,Havok,Have four or more action and/or champion cards in play.,Quest,,,,,Quest Deck,,Antonis Papantoniou
Journeys Kickstarter Promo Pack,1,Patrol,Gain at least 6 {Combat} and 4 {Health} in one turn.,Quest,,,,,Quest Deck,,Melvin Chan
Journeys Kickstarter Promo Pack,1,Half-Demon,"Whenever you'd gain {Health} from another player or {Imperial} card, gain {1 health} less instead.",Ancestry,,,,Health +5,Avatar,,Antonis Papantoniou
Journeys Kickstarter Promo Pack,1,Hellfire,"{Sacrifice}:
{Lose 3 health}
Deal 3 damage to target opponent and each non-guard champion they control. 
<i>In campaigns, deal 3 damage to each master and minion in target area.)</i>",Half-Demon Ability,,,,,Ability,,Shen Fei
Journeys Kickstarter Promo Pack,1,Demon Blood,"{Gain 1 gold}
<i>or</i>
You may sacrifice a card in your hand.",Half-Demon Action,Necros,,,,Personal Deck,,Antonis Papantoniou
Journeys Kickstarter Promo Pack,1,Demonic Strength,"{Gain 2 combat} 
<hr>
{Necros Ally}: Set this card aside. At the end of your draw phase, return this card to your hand.",Half-Demon Action,,,,,Personal Deck,,Jean Baptiste Andrier
Journeys: Travelers,1,Bounty Collection,"{Gain 3 gold}
You may put the next card you acquire this turn into your hand.
<hr>
{Guild Ally}: Draw a card.",Action,Guild,7,,,Market Deck,,David Nash
Journeys: Travelers,2,Daring Escape,"Target opponent discards a card.
You may put a card from your discard pile on top of your deck.
<hr>
{Sacrifice}: Draw a card.",Action,Wild,3,,,Market Deck,,Shen Fei
Journeys: Travelers,1,Fearless Charge,"{Gain 5 combat} {Gain 5 health}
Draw two cards. 
<hr>
{Sacrifice}: Prepare all of your champions.",Action ◆ Warrior,Imperial,8,,,Market Deck,,Apsara
Journeys: Travelers,2,Sway,"{Gain 3 gold}
Champions you acquire this turn cost {1 gold} less. 
<hr>
{Sacrifice}: Gain control of target champion until end of turn.",Action,Necros,3,,,Market Deck,,Souveraine
Journeys: Travelers,2,Con Artist,"{Expend}: {Gain 2 combat}
<i>or</i>
Gain {1 gold} for each champion you stunned this turn.",Champion ◆ Human Rogue,Guild,2,2,,Market Deck,,Shen Fei
Journeys: Travelers,1,"Olara, the Slayer","{Expend}: {Gain 2 gold}
<or>
Deal 2 damage to each opposing champion.",Champion ◆ Human Mage,Necros,4,5,,Market Deck,,Laura Csajagi
Journeys: Travelers,1,"Pelleas, the Seeker","{Expend}: {Gain 3 combat}
<i>or</i>
Put an action from your discard pile on top of your deck.",Champion ◆ Elf,Wild,5,4 Guard,,Market Deck,,David Gaillet
Journeys: Travelers,2,Veteran Squire,{Expend}: Gain {2 combat} for each {Imperial} champion you control.,Champion ◆ Human,Imperial,3,3,,Market Deck,,Jean Baptiste Andrier
Journeys: Hunters,2,Confiscate,"You may acquire a card with cost {4 gold} or less for free.
<hr>
{Imperial Ally}: {Gain 6 health}",Action,Imperial,3,,,Market Deck,,Apsara
Journeys: Hunters,1,Demonic Cloud,"{Gain 7 combat}
Deal 4 damage to each opposing champion. Draw a card.
<hr>
{Necros Ally}: Sacrifice a card in your hand or discard pile.",Action ◆ Demon Curse,Necros,7,,,Market Deck,,Jessada Sutthi
Journeys: Hunters,1,Pack’s Fury,"{Gain 7 combat}
You may discard any number of cards. Draw a card for each card discarded this way.",Action ◆ Wolf,Wild,7,,,Market Deck,,Antonis Papantoniou
Journeys: Hunters,2,Thrash,"{Gain 4 combat}
<i>or</i>
Stun target champion.",Action ◆ Rogue,Guild,2,,,Market Deck,,Laura Csajagi
Journeys: Hunters,1,"Andor, the Valiant","{Expend}: {Gain 2 combat}
Draw a card. 
<hr>
{Imperial Ally}: Prepare another champion.",Champion ◆ Human Warrior,Imperial,6,5 Guard ,,Market Deck,,Olivier Bernard
Journeys: Hunters,2,Fettered Imp,{Expend}: Sacrifice a card in your hand or discard pile.,Champion ◆ Imp,Necros,2,3 Guard ,,Market Deck,,Souveraine
Journeys: Hunters,1,"Lenka, the Hunter","{Expend}: {Gain 4 combat} 
<hr>
{Guild Ally}: Stun target champion.",Champion ◆ Ogre,Guild,5,5,,Market Deck,,Apsara
Journeys: Hunters,2,Pathfinder,"{Expend}: {Gain 2 combat} 
<hr>
{Wild Ally}: {Gain 2 gold}",Champion ◆ Elf,Wild,3,4,,Market Deck,,Grzegorz Pedrycz
Journeys: Discovery,1,Decanter of Souls,"{Gain 2 gold}
<hr>
{Sacrifice}: {Gain 4 combat}
<hr>
Whenever this card goes to your discard pile, you may put a card that was already there on top of your deck.",Artifact Item ◆ Flask,Necros,3,,,Artifact Deck,,Souveraine
Journeys: Discovery,1,Dragon Shard,"{Gain 6 health}
<hr>
Whenever this card goes to your discard pile, you may acquire a Fire Gem for free and put it into your hand.",Artifact Item ◆ Gem,,4,,,Artifact Deck,,L. Sean
Journeys: Discovery,1,Phoenix Plume,"{Gain 2 gold}
Draw a card, then discard a card.
<hr>
{Sacrifice}: Target opponent discards a card.
<hr>
When you acquire this card, you may put it on top of your deck.",Artifact Item ◆ Feather,Wild,3,,,Artifact Deck,,Siregar
Journeys: Discovery,1,Shadow Tome,"{Gain 3 combat}
Draw a card. 
<hr>
When you acquire this card, you may put it on top of your deck.",Artifact Item ◆ Book,Guild,3,,,Artifact Deck,,Olivier Bernard
Journeys: Discovery,1,Staff of Radiance,"Stun target champion.
<i>or</i>
Draw a card.
<hr>
When you acquire this card, you may put it into your hand.",Artifact Item ◆ Weapon ◆ Staff,,3,,,Artifact Deck,,Ksenia Kozhevnikova
Journeys: Discovery,1,Starlight Prison,"{Gain 3 combat} {Gain 3 health} 
<hr>
When you acquire this card, you may put into your hand.",Artifact Item ◆ Lantern,Imperial,3,,,Artifact Deck,,Shen Fei
Journeys: Discovery,1,The Call,Trigger a {Wild} ally ability.,Quest,,,,,Quest Deck,,Ksenia Kozhevnikova
Journeys: Discovery,1,Discover,"Acquire an item, a champion, and an action in a single turn.",Quest,,,,,Quest Deck,,Shen Fei
Journeys: Discovery,1,The Hunt,Trigger a {Guild} ally ability.,Quest,,,,,Quest Deck,,David Gaillet
Journeys: Discovery,1,Persuade,"Sacrifice one of your cards from play, and a card from your hand or discard pile, in a single turn.",Quest,,,,,Quest Deck,,Anna Lakisova
Journeys: Discovery,1,Rally,Have three or more champions in play at the same time.,Quest,,,,,Quest Deck,,Findara McAvinchey
Journeys: Discovery,1,Unify,Play cards of three or more different factions in a single turn.,Quest,,,,,Quest Deck,,Apsara
Journeys: Conquest,1,Artek's Bones,"{Gain 3 gold}
<hr>
{Sacrifice}: Put a champion from your discard pile on top of your deck. 
<hr>
When you acquire this card, you may put it on top of your deck.",Artifact Item ◆ Bones,Necros,4,,,Artifact Deck,,Findara McAvinchey
Journeys: Conquest,1,Cup of Quickening,"Prepare a champion.
<i>or</i>
Draw a card.
<hr>
When you acquire this card, you may put it into your hand.",Artifact Item ◆ Cup,,3,,,Artifact Deck,,Ksenia Kozhevnikova
Journeys: Conquest,1,Kemlo's Ring,"Draw a card.
<hr>
When you acquire this card, you may put it into your hand.",Artifact Item ◆ Ring,Guild,3,,,Artifact Deck,,Anna Lakisova
Journeys: Conquest,1,Moonblade,"{Gain 5 combat}
<hr>
Whenever this card goes to your discard pile, gain {5 health}.",Artifact Item ◆ Melee Weapon ◆ Sword,,3,,,Artifact Deck,,Wagner Chrissante
Journeys: Conquest,1,Scrivener's Quill,"{Gain 2 gold} {Gain 4 Health}
<hr>
{Sacrifice}: Prepare a champion.
<hr>
When you acquire this card, you may put it on top of your deck.",Artifact Item ◆ Feather,Imperial,3,,,Artifact Deck,,Anna Lakisova
Journeys: Conquest,1,Spellbinder,"{Gain 4 combat}
<hr>
Whenever this card goes to your discard pile, draw a card.",Artifact Item ◆ Melee Weapon ◆ Dagger,Wild,3,,,Artifact Deck,,Jorge Matar
Journeys: Conquest,1,Defend,Have two or more guards in play at the same time.,Quest,,,,,Quest Deck,,Grzegorz Pedrycz
Journeys: Conquest,1,Drain,Trigger a {Necros} ally ability.,Quest,,,,,Quest Deck,,Olivier Bernard
Journeys: Conquest,1,Fortify,Trigger a {Imperial} ally ability.,Quest,,,,,Quest Deck,,Sebastian Giacobino
Journeys: Conquest,1,Inspire,Play three or more actions in a single turn.,Quest,,,,,Quest Deck,,Andrés Agostini
Journeys: Conquest,1,Loot,Acquire four or more cards in a single turn.,Quest,,,,,Quest Deck,,Jean Baptiste Andrier
Journeys: Conquest,1,The Ritual,Sacrifice three or more cards in a single turn <i>(from anywhere)</i>.,Quest,,,,,Quest Deck,,Apsara
Boss Deck: Lich,1,Deep Insight,"{Expend}: Draw a card, then discard a card.",Soul Jar ◆ 35 Health,,,,,Soul Jar,,Apsara
Boss Deck: Lich,1,Heart of Evil,{Expend}: Perform a summoning.,Soul Jar ◆ 30 Health,,,,,Soul Jar,,Apsara
Boss Deck: Lich,1,Infernal Wealth,"{Expend}: {Gain 2 gold}
<i>or</i>
Stun an opposing champion.",Soul Jar ◆ 40 Health,,,,,Soul Jar,,Apsara
Boss Deck: Lich,1,Manipulation,{Expend}: Acquire a card of cost four or less for free.,Soul Jar ◆ 45 Health,,,,,Soul Jar,,Apsara
